 ,Common name,Common name 2,Common name 3,Phylum,Class,Order,Family,Genus,domestic/managed/wild,domestic/managed/wild 2,Ruminant/non-ruminant,Type (grazer/browser/mixed feeder),Type notes,Avg species weight (kg),Notes on Weight,Avg species shoulder height (cm),Notes on Shoulder Height,Even or odd toed?,Citation,Native habitat,Biome 1,Biome 2,Biome 3,Biome 4,Biome 5,Continent 1,Continent 2,Continent 3,Country 1,Country 2,Country 3,Country 4,Country 5+,Range Notes,Temperature Regime (ArcGIS),Temperate Regime 2,Temperate Regime 3,Temperate Regime 4,Temperate Regime 5,IUCN Status,IUCN reason,URL,Notes
Muntiacus truongsonensis,Annamite muntjac,,,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,Wild,,Ruminant,Mixed feeder,,15,15,Unknown,,Even-toed,"World Wildlife Foundation (archived website), Animal Diversity (website)","Tropical, secondary, evergreen forests",tropical rainforest,temperate forest,,,,Asia,,,Vietnam,,,,,"Southeast Asia, incl. mountain ranges of Indochina, Vietnam, & Laos",sub tropical,,,,,Data Deficient,,"https://web.archive.org/web/20040620103842/http://wwfindochina.org/conservation/species/tmuntjac.htm , https://animaldiversity.org/accounts/Muntiacus_truongsonensis/ ",
Muntiacus vuquangensis,Giant Muntjac,,,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,Wild,,Ruminant,Unknown,likely browser,40,30-50,Unknown,,Even-toed,Animal Diversity (website),"Alpine forests, primarily old-growth broad-leaved evergreen forests",boreal forest,temperate forest,,,,Asia,,,Vietnam,Cambodia,Laos,,,"Southeast Asia, incl. Vietnam, Laos, Cambodia, & Annam",tropical,sub tropical,,,,Critically Endangered,,https://animaldiversity.org/accounts/Muntiacus_vuquangensis/,
Przewalskium albirostris,Thorold's deer,White-lipped deer,,Chordata,Mammalia,Artiodactyla,Cervidae,Przewalskium,Wild,,Ruminant,Grazer,,135,130-140,125,120-130,Even-toed,Ungulates of the World (website),Meadows & alpine grasslands,boreal forest,grassland,,,,Asia,,,China,,,,,Asia,cool temperate,boreal,polar,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Przewalskium_albirostris.html,
Rucervus duvaucelii,Swamp deer,Barasingha,,Chordata,Mammalia,Artiodactyla,Cervidae,Rucervus,Wild,,Ruminant,Grazer,,225,170-280,121.5,119-124,Even-toed,Ungulates of the World (website),"Marshy grasslands, floodplains, & meadows",grassland,freshwater,,,,Asia,,,India,Nepal,,,,"Northern India, Asia",tropical,sub tropical,,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Rucervus_duvaucelii.html,
Rucervus eldii,Eld's deer,Thamin,,Chordata,Mammalia,Artiodactyla,Cervidae,Rucervus,Wild,,Ruminant,Mixed feeder,,100,70-130,Unknown,,Even-toed,Animal Diversity (website),Deciduous forests (indaing forests) & scrubland,temperate forest,shrubland,,,,Asia,,,China,Cambodia,Laos,Thailand,"Vietnam, Myanmar","Southeast Asia, incl. India, Malaysia, & Thailand",tropical,sub tropical,warm temperate dry,,,Endangered,,https://animaldiversity.org/accounts/Rucervus_eldii/,
Rucervus schomburgki,Schomburgk's deer,,,Chordata,Mammalia,Artiodactyla,Cervidae,Rucervus,N/A,,Ruminant,Grazer,unverified,Unknown,,104,104,Even-toed,Ungulates of the World (website),"Marshy grasslands, floodplains, & meadows",grassland,freshwater,,,,Asia,,,Thailand,,,,,"Central Thailand, Asia",tropical,,,,,Extinct,,http://www.ultimateungulate.com/Artiodactyla/Rucervus_schomburgki.html,
Rusa alfredi,Visayan spotted deer,,,Chordata,Mammalia,Artiodactyla,Cervidae,Rusa,Wild,,Ruminant,Mixed feeder,,Unknown,,70.5,64-77,Even-toed,Ungulates of the World (website),Grasslands & tropical alpine forests,boreal forest,tropical rainforest,,,,Asia,,,Philippines,,,,,"Negros island & Panay island, Philippines, Asia",tropical,,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Rusa_alfredi.html,
Rusa marianna,Philippine sambar,,,Chordata,Mammalia,Artiodactyla,Cervidae,Rusa,Wild,,Ruminant,Mixed feeder,,50,40-60 (unverified),62.5,55-70 (unverified),Even-toed,,"Primary & secondary forests, grasslands",temperate forest,grassland,,,,Asia,,,Philippines,,,,,"Phillipine Islands, Asia",tropical,,,,,Vulnerable,,https://en.wikipedia.org/wiki/Philippine_deer,
Rusa timorensis,Rusa,,,Chordata,Mammalia,Artiodactyla,Cervidae,Rusa,Wild,,Ruminant,Mixed feeder,,82.5,50-115,96.5,83-110,Even-toed,Ungulates of the World,Deciduous forests & grasslands,temperate forest,grassland,,,,Asia,,,Indonesia,,,,,"Southern Indonesian islands, Asia",tropical,,,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Rusa_timorensis.html,
Rusa unicolor,Sambar,,,Chordata,Mammalia,Artiodactyla,Cervidae,Rusa,Wild,,Ruminant,Mixed feeder,,272.5,225-320,136,130-142,Even-toed,"Leslie, D. M. 2011","Jungle & deciduous forests, grasslands",tropical rainforest,temperate forest,,,,Asia,,,Myanmar,Thailand,India,China,Indonesia,"Southern Asia, incl. China, India, Vietnam, Indonesia, & the Philippines",tropical,sub tropical,warm temperate dry,cool temperate,,Vulnerable,,,
Hydropotes inermis,Chinese water deer,,,Chordata,Mammalia,Artiodactyla,Cervidae,Hydropotes,Wild,,Ruminant,Grazer,,11.5,9-14,40,45-55,Even-toed,Ungulates of the World (website),Swampy grasslands,grassland,,,,,Asia,,,China,North Korea,South Korea,,,"Eastern Asia, incl. China, North Korea, & South Korea",warm temperate dry,cool temperate,,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Hydropotes_inermis.html,
Antilocapra americana,Pronghorn,,,Chordata,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,Wild,,Ruminant,Grazer,,39.5,38-41,102,<102,Even-toed,Ungulates of the World (website),Grasslands & deserts,grassland,desert,,,,North America,,,Canada,United States,Mexico,,,North America,sub tropical,warm temperate dry,cool temperate,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Antilocapra_americana.html,
Giraffa camelopardalis,Giraffe,,,Chordata,Mammalia,Artiodactyla,Giraffidae,Giraffa,Wild,,Ruminant,Browser,,1555,1180-1930,265,200-330,Even-toed,Animal Diversity (website),Savannas & open woodlands,savanna,woodland,,,,Africa,,,Niger,Cameroon,Chad,Central African Republic,"South Sudan, Democratic Republic of Congo, Ethiopia, Uganda, Kenya, Tanzania, Zambia,Namibia, Botswana, Zimbabwe, Mozambique,South Africa",Africa (pan-continental),tropical,sub tropical,,,,Vulnerable,,https://animaldiversity.org/site/accounts/information/Giraffa_camelopardalis.html,Multiple subspecies with varying morphology
Okapia johnstoni,Okapi,,,Chordata,Mammalia,Artiodactyla,Giraffidae,Okapia,Wild,,Ruminant,Mixed feeder,,230,210-250,160,150-170,Even-toed,Ungulates of the World (website),Moist jungle,tropical rainforest,,,,,Africa,,,Democratic Republic of Congo,,,,,"Central Africa, incl. Democratic Republic of Congo",tropical,sub tropical,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Okapia_johnstoni.html,
Aepyceros melampus,Impala,,,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros,Wild,,Ruminant,Mixed feeder,,55,40-70,85,75-95,Even-toed,"Ungulates of the World (website), https://koedoe.co.za/index.php/koedoe/article/view/1185/1537",Savanna & open woodlands,savanna,woodland,,,,Africa,,,Angola,Namibia,Uganda,Kenya,"Tanzania, Rwanda, Burundi, Democratic Republic of the Congo, Zambia, Zimbabwe, Malawi, Mozambique, Botswana, South Africa, Swaziland",Eastern Africa,tropical,sub tropical,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Aepyceros_melampus.html,
Alcelaphus buselaphus,Hartebeest,,,Chordata,Mammalia,Artiodactyla,Bovidae,Alcelaphus,Wild,Managed,Ruminant,Grazer,,160,120-200,132.5,120-145,Even-toed,"Ungulates of the World (website), Hoffman, L. C., Smit, K., & Muller, N. (2010). Chemical characteristics of red hartebeest (Alcelaphus buselaphus caama) meat. South African Journal of Animal Science, 40(3), 221-228.",Savannas & open woodlands,savanna,woodland,,,,Africa,,,Guinea Bissau,Gambia,Senegal,Mali,"Côte D'Ivoire, Guinea, Burkina, Ghana, Togo, Benin, Nigeria, Cameroon, Chad, Central African Republic, Sudan, Democratic Republic of the Congo, Eritrea, South Sudan, Uganda, Ethiopia, Kenya, Tanzania, Angola, Namibia, Botswana, South Africa",Sub-saharan Africa,tropical,sub tropical,warm temperate dry,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Alcelaphus_buselaphus.html,Many subspecies with varying morphology and conservation statuses
Beatragus hunteri,Hunter's hartebeest,Hirola,,Chordata,Mammalia,Artiodactyla,Bovidae,Beatragus,Managed,,Ruminant,Grazer,,99,80-118,112.5,100-125,Even-toed,Ungulates of the World (website),Savannas,savanna,,,,,Africa,,,Kenya,Somalia,,,,Eastern Africa,tropical,,,,,Critically Endangered,,http://www.ultimateungulate.com/Artiodactyla/Beatragus_hunteri.html,
Connochaetes gnou,White-tailed gnu,Black wildebeest,,Chordata,Mammalia,Artiodactyla,Bovidae,Connochaetes,Wild,Managed,Ruminant,Grazer,,145,110-180,105,90-120,Even-toed,"Ungulates of the World (website), Grobler, P., van Wyk, A. M., Dalton, D. L., van Vuuren, B. J., & Kotzé, A. (2018). Assessing introgressive hybridization between blue wildebeest (Connochaetes taurinus) and black wildebeest (Connochaetes gnou) from South Africa. Conservation Genetics, 19(4), 981-993., Furstenburg, D. Black Wildebeest/White-tailed gnu Connochaetes gnou (Zimmermann, 1780).
",Savannas & open woodlands,savanna,woodland,,,,Africa,,,South Africa,,,,,Southern Africa,warm temperate dry,,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Connochaetes_gnou.html,"Majority of herds are kept on game farms, descended from captive animals"
Connochaetes taurinus,Brindled gnu,Blue wildebeest,,Chordata,Mammalia,Artiodactyla,Bovidae,Connochaetes,Wild,,Ruminant,Grazer,,215,140-290,130,115-145,Even-toed,"Ungulates of the World (website), Grobler, P., van Wyk, A. M., Dalton, D. L., van Vuuren, B. J., & Kotzé, A. (2018). Assessing introgressive hybridization between blue wildebeest (Connochaetes taurinus) and black wildebeest (Connochaetes gnou) from South Africa. Conservation Genetics, 19(4), 981-993.",Savannas & open woodlands,savanna,woodland,,,,Africa,,,Kenya,Tanzania,Mozambique,Zambia,"Angola, Namibia, Botswana, South Africa, Zimbabwe, Swaziland, Lesotho",Sub-saharan Africa,tropical,sub tropical,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Connochaetes_taurinus.html,
Damaliscus lunatus,Topi,Tsessebe,,Chordata,Mammalia,Artiodactyla,Bovidae,Damaliscus,Wild,,Ruminant,Grazer,,117.5,75-160,115,100-130,Even-toed,"Ungulates of the World (website), Gopper, B. M. (2014). The ecology of the Tsessebe, Damaliscus lunatus lunatus, in Borakalalo National Park, North West Province (Doctoral dissertation, University of Limpopo (Medunsa Campus)).","Savanna, floodplains, & semi-deserts",savanna,desert,freshwater,,,Africa,,,Burkina,Benin,Cameroon,Nigeria,"Chad, Central African Republic, Sudan, South Sudan, Ethiopia, Kenya, Somalia, Uganda, Democratic Republic of the Congo, Rwanda, Burundi, Tanzania, Zambia, Angola, Namibia, Botswana, Zimbabwe, South Africa",,tropical,sub tropical,warm temperate dry,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Damaliscus_lunatus.html,
Damaliscus pygargus,Bontebok,Blesbok,,Chordata,Mammalia,Artiodactyla,Bovidae,Damaliscus,Wild,Managed,Ruminant,Grazer,,67.5,55-80,92.5,85-100,Even-toed,Ungulates of the World (website),Grasslands & coastal plains,grassland,marine,,,,Africa,,,South Africa,Lesotho,,,,Southern Africa,warm temperate dry,,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Damaliscus_pygargus.html,Present primarily in wildlife refuges & game parks
Ammodorcas clarkei,Dibatag,Clarke's gazelle,,Chordata,Mammalia,Artiodactyla,Bovidae,Ammodorcas,Wild,,Ruminant,Browser,,28.5,22-35,84,80-88,Even-toed,Ungulates of the World (website),Desert scrubland,desert,shrubland,,,,Africa,,,Ethiopia,Somalia,,,,Eastern Africa,tropical,,,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Ammodorcas_clarkei.html,
Antidorcas marsupialis,Springbok,,,Chordata,Mammalia,Artiodactyla,Bovidae,Antidorcas,Wild,,Ruminant,Mixed feeder,,39,30-48,73,72-74,Even-toed,"Cain, J. W. et al. 2004, Hofmann, R. R., Knight, M. H., & Skinner, J. D. (1995). On structural characteristics and morphophysiological adaptation of the springbok (Antidorcas marsupialis) digestive system. Transactions of the Royal Society of South Africa, 50(2), 125-142.",Dry savanna,savanna,,,,,Africa,,,Angola,Botswana,Namibia,South Africa,,Southern Africa,warm temperate dry,sub tropical,,,,Least Concern,,https://bioone.org/journals/Mammalian-Species/volume-1/issue-753/753/Antidorcas-marsupialis/10.1644/753.full?casa_token=yHpa7rbeO88AAAAA:Xpj_wC4vlUjC6J4sWuXQ-DN-LvJUl9v4CFImjsbVxQE_7AMsim94em9RYdo-izhDa1IHTOOw,
Antilope cervicapra,Blackbuck,,,Chordata,Mammalia,Artiodactyla,Bovidae,Antilope,Wild,,Ruminant,Mixed feeder,,30,25-35,72.5,60-85,Even-toed,Ungulates of the World (website),Dry deciduous forests,temperate forest,,,,,Asia,,,India,Pakistan,,,,Central Asia,tropical,sub tropical,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Antilope_cervicapra.html,
Dorcatragus megalotis,Beira,,,Chordata,Mammalia,Artiodactyla,Bovidae,Dorcatragus,Wild,,Ruminant,Browser,,10.25,9-11.5,55,50-60,Even-toed,Ungulates of the World (website),Dry plateaus,savanna,,,,,Africa,,,Somalia,Djibouti,Ethiopia,,,Eastern Africa,tropical,sub tropical,,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Dorcatragus_megalotis.html,
Eudorcas albonotata,Mongalla gazelle,,,Chordata,Mammalia,Artiodactyla,Bovidae,Eudorcas,Wild,,Ruminant,Unknown,,Unknown,,Unknown,,Even-toed,,Savanna & floodplains,savanna,freshwater,,,,Africa,,,South Sudan,,,,,,tropical,,,,,Least Concern,,https://www.researchgate.net/profile/Paul-Scholte/publication/262684436_Eudorcas_rufifrons_Red-fronted_Gazelle/links/0deec538702c532759000000/Eudorcas-rufifrons-Red-fronted-Gazelle.pdf,Disputed subspecies of E. thomsonii
Eudorcas rufifrons,Red-fronted gazelle,,,Chordata,Mammalia,Artiodactyla,Bovidae,Eudorcas,Wild,,Ruminant,Mixed feeder,,27.5,25-30,67.5,65-70,Even-toed,Ungulates of the World (website),Savanna,savanna,,,,,Africa,,,Senegal,Mauritania,Mali,Burkina,"Niger, Nigeria, Cameroon, Chad, Central African Republic, Sudan, South Sudan, Eritrea, Ethiopia",Central & Western Africa (Sahelian zone),tropical,,,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Eudorcas_rufifrons.html,
Eudorcas rufina,Red gazelle,,,Chordata,Mammalia,Artiodactyla,Bovidae,Eudorcas,Unknown,,Ruminant,Unknown,,Unknown,,Unknown,,Even-toed,Ungulates of the World (website),Unknown; likely grasslands,,,,,,Africa,,,UNKNOWN,,,,,Unknown; likely Northern Africa,,,,,,Data Deficient,,http://www.ultimateungulate.com/Artiodactyla/Eudorcas_rufina.html,Disputed subspecies of red-fronted gazelles; likely exctint-- only three specimins collected
Eudorcas thomsonii,Thomson's gazelle,,,Chordata,Mammalia,Artiodactyla,Bovidae,Eudorcas,Wild,,Ruminant,Mixed feeder,,25,15-35,68.5,55-82,Even-toed,Animal Diversity (website),Savanna,savanna,,,,,Africa,,,Kenya,Tanzania,South Sudan,,,Eastern Africa,tropical,,,,,Least Concern,,https://animaldiversity.org/accounts/Eudorcas_thomsonii/,
Gazella arabica,Arabian gazelle,,,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,Unknown,,Ruminant,Grazer,mainly Cyperus,Unknown,,Unknown,,Even-toed,IUCN Redlist (website),Shrubland & grasslands,grassland,shrubland,,,,Asia,,,Saudi Arabia,United Arab Emirates,Oman,,,Arabian Peninsula,tropical,,,,,Vulnerable,,https://www.iucnredlist.org/species/117582065/88018124,Disputed species; may be a subspecies of G. gazella
Gazella bennettii,Indian gazelle,Chinkara,,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,Wild,,Ruminant,Mixed feeder,,22.5,20-25,70,60-80,Even-toed,Animal Diversity (website),"Dry deciduous forests, shrubland, semi-arid & true deserts",temperate forest,desert,shrubland,,,Asia,,,India,Iran,Pakistan,Afghanistan,,Central Asia,tropical,sub tropical,warm temperate dry,,,Least Concern,,https://animaldiversity.org/accounts/Gazella_bennettii/,
Gazella bilkis,Queen of Sheba's gazelle,,,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,N/A,,Ruminant,Unknown,,Unknown,,Unknown,,Even-toed,,Unknown,,,,,,Asia,,,Yemen,,,,,,tropical,,,,,Extinct,,,
Gazella cuvieri,Cuvier's gazelle,,,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,Wild,,Ruminant,Grazer,,27.5,20-35,64.5,60-69,Even-toed,Ungulates of the World (website),Mixed alpine forests & stony plateaus,boreal forest,desert,,,,Africa,,,Western Sahara,Morocco,Algeria,Tunisia,,"Atlas Mountains, North Africa",sub tropical,,,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Gazella_cuvieri.html,
Gazella dorcas,Dorcas gazelle,,,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,Wild,,Ruminant,Mixed feeder,,17.5,15-20,60,55-65,Even-toed,Ungulates of the World (website),"Savannas, semidesert, & true desert",savanna,desert,,,,Africa,,,Western Sahara,Morocco,Algeria,Tunisia,"Mauritania, Mali, Libya, Egypt, Sudan, Eritrea, Djibouti, Somalia, Ethiopia, Chad, Niger, Israel, Lebanon, Jordan, Saudi Arabia, Yemen, Syria, Iraq",Northern Africa & western Arabian Peninsula,tropical,sub tropical,,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Gazella_dorcas.html,
Gazella gazella,Mountain gazelle,Chinkara,,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,Wild,,Ruminant,Mixed feeder,,22.5,16-29,Unknown,,Even-toed,Animal Diversity (website),Alpine forests & desert plateaus,boreal forest,desert,,,,Africa,,,Egypt,Israel,Lebanon,,,"Northeastern Africa & Middle East, incl. Egypt & Arabian Peninsula",sub tropical,,,,,Endangered,,https://animaldiversity.org/accounts/Gazella_gazella/,
Gazella leptoceros,Slender-horned gazelle,Rhim,,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,Wild,,Ruminant,Mixed feeder,,25,20-30,68.5,65-72,Even-toed,Ungulates of the World (website),"Scrubland, semi-arid & true desert",shrubland,desert,,,,Africa,,,Mauritania,Mali,Algeria,Tunisia,"Libya, Egypt, Niger, Chad, Sudan","Central Sahara Desert, Africa",sub tropical,,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Gazella_leptoceros.html,
Gazella saudiya,Saudi gazelle,,,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,Unknown,,Ruminant,Unknown,,Unknown,,Unknown,,Even-toed,,Scrubland w/ acacia,savanna,,,,,Africa,,,EXTINCT,,,,,Northern & western Arabian peninsula,,,,,,Extinct,,,
Gazella spekei,Speke's gazelle,,,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,Wild,,Ruminant,Mixed feeder,,20,15-25,55,50-60,Even-toed,Ungulates of the World (website),"Scrubland, grass steppes, & semideserts",savanna,grassland,desert,,,Africa,,,Ethiopia,Somalia,,,,Eastern Africa,tropical,,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Gazella_spekei.html,
Gazella subgutturosa,Goitered gazelle,,,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,Wild,,Ruminant,Mixed feeder,,25.5,18-33,70,60-80,Even-toed,Ungulates of the World (website),"Deserts, semideserts, grasslands & plateaus",desert,grassland,savanna,,,Asia,,,China,Mongolia,Russia,Kazakhstan,"Kyrgystan, Tajikistan, Pakistan, India, Uzbekistan, Turkmenistan, Afghanistan, Iraq, Saudi Arabia, Kuwait, Bahrain, Qatar, United Arab Emirates, Oman, Yemen",Central Asia,warm temperate dry,cool temperate,boreal,polar,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Gazella_subgutturosa.html,
Litocranius walleri ,Gerenuk,,,Chordata,Mammalia,Artiodactyla,Bovidae,Litocranius,Wild,,Ruminant,Browser,,40,30-50,97.5,90-105,Even-toed,Ungulates of the World (website),Brushy steppe & scrubland,grassland,savanna,,,,Africa,,,Djibouti,Somalia,Ethiopia,Kenya,Tanzania,Eastern Africa,tropical,,,,,Near Threatened,,http://www.ultimateungulate.com/Artiodactyla/Litocranius_walleri.html,
Madoqua guentheri,Guenther's dik-dik,,,Chordata,Mammalia,Artiodactyla,Bovidae,Madoqua,Wild,,Ruminant,Browser,,3.7,3.5-3.9,33.5,32-35,Even-toed,"Kingswood, S. C. et al. 1996",Savanna-woodland & deciduous forests,savanna,temperate forest,woodland,,,Africa,,,Ethiopia,Somalia,South Sudan,Uganda,Kenya,Eastern Africa,tropical,,,,,Least Concern,,,
Madoqua kirkii,Kirk's dik-dik,,,Chordata,Mammalia,Artiodactyla,Bovidae,Madoqua,Wild,,Ruminant,Browser,,4.6,2.7-6.5,40,35-45,Even-toed,Ungulates of the World (website),Scrubland & savanna-woodland,savanna,,,,,Africa,,,Somalia,Kenya,Tanzania,Angola,Namibia,Eastern & Southwestern Africa,tropical,sub tropical,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Madoqua_kirkii.html,
Madoqua piacentinii,Silver dik-dik,,,Chordata,Mammalia,Artiodactyla,Bovidae,Madoqua,Wild,,Ruminant,Unknown,likely browser,2.5,2-3 (unverified from wikipedia),31.5,30-33 (unverified from wikipedia),Even-toed,"(Kingdon, J. (1997). The Kingdon Guide to African Mammals. Academic Press.)",Scrubland & savanna-woodland,savanna,woodland,,,,Africa,,,Somalia,,,,,Eastern Africa,tropical,,,,,Data Deficient,,,
Madoqua saltiana,Salt's dik-dik,,,Chordata,Mammalia,Artiodactyla,Bovidae,Madoqua,Wild,,Ruminant,Browser,,4,2-6,36.5,33-40,Even-toed,Animal Diversity (website),Savanna & scrubland,savanna,,,,,Africa,,,Sudan,Eritrea,Ethiopia,Djibouti,Somalia,Eastern Africa,tropical,,,,,Least Concern,,https://animaldiversity.org/accounts/Madoqua_saltiana/,
Nanger dama,Dama gazelle,,,Chordata,Mammalia,Artiodactyla,Bovidae,Nanger,Wild,,Ruminant,Mixed feeder,,57.5,40-75,105,90-120,Even-toed,Ungulates of the World (website),Semidesert,desert,,,,,Africa,,,Mali,Niger,Chad,Sudan,Nigeria,Central Africa,tropical,,,,,Critically Endangered,,http://www.ultimateungulate.com/Artiodactyla/Nanger_dama.html,
Nanger granti,Grant's gazelle,,,Chordata,Mammalia,Artiodactyla,Bovidae,Nanger,Wild,,Ruminant,Browser,,55,45-65,85,75-95,Even-toed,Animal Diversity (website),Savanna & semidesert,savanna,desert,,,,Africa,,,South Sudan,Ethiopia,Somalia,Uganda,"Kenya, Tanzania",Eastern Africa,tropical,,,,,Least Concern,,https://animaldiversity.org/accounts/Nanger_granti/,
Nanger soemmerringii,Soemmerring's gazelle,,,Chordata,Mammalia,Artiodactyla,Bovidae,Nanger,Wild,,Ruminant,Grazer,,33.7,28.5-38.9,85.5,81-90,Even-toed,Ungulates of the World (website),Savanna,savanna,,,,,Africa,,,Sudan,,,,,Eastern Africa,tropical,sub tropical,,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Nanger_soemmerringii.html,
Neotragus batesi,Bates's pygmy antelope,,,Chordata,Mammalia,Artiodactyla,Bovidae,Neotragus,Wild,,Ruminant,Browser,,2.5,2.2-2.8,30,30,Even-toed,Ungulates of the World (website),Tropical secondary rainforests,tropical rainforest,,,,,Africa,,,Nigeria,Cameroon,Gabon,Congo,Democratic Republic of the Congo,Central Africa,tropical,,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Neotragus_batesi.html,
Neotragus moschatus,Suni,,,Chordata,Mammalia,Artiodactyla,Bovidae,Neotragus,Wild,,Ruminant,Browser,,5,4-6,35.5,33-38,Even-toed,Ungulates of the World (website),Deciduous forests & scrubland,temperate forest,savanna,,,,Africa,,,Kenya,Tanzania,Mozambique,Malawi,Zimbabwe,Southeast Africa,sub tropical,,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Neotragus_moschatus.html,
Neotragus pygmaeus,Royal antelope,,,Chordata,Mammalia,Artiodactyla,Bovidae,Neotragus,Wild,,Ruminant,Browser,,2.25,1.5-3,25,25,Even-toed,Ungulates of the World (website),Tropical rainforests,tropical rainforest,,,,,Africa,,,Guinea,Sierra Leone,Liberia,Côte D'Ivoire,Ghana,Western Africa,tropical,,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Neotragus_pygmaeus.html,
Oreotragus oreotragus,Klipspringer,,,Chordata,Mammalia,Artiodactyla,Bovidae,Oreotragus,Wild,,Ruminant,Mixed feeder,,14,10-18,52.5,45-60,Even-toed,Ungulates of the World (website),Mountains & alpine grasslands,boreal forest,grassland,,,,Africa,,,Sudan,Eritrea,Ethiopia,Somalia,"Sudan, South Sudan, Kenya, Uganda, Rwanda, Burundi, Democratic Republic of the Congo, Zambia, Zimbabwe, Malawi, Mozambique, Botswana, South Africa, Swaziland, Lesotho, Namibia, Angola, Nigeria",Eastern & Southern Africa,tropical,sub tropical,warm temperate dry,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Oreotragus_oreotragus.html,
Ourebia ourebi,Oribi,,,Chordata,Mammalia,Artiodactyla,Bovidae,Orurebia,Wild,,Ruminant,Mixed feeder,,16,12-22,58,50-66,Even-toed,Animal Diversity (website),Savanna,savanna,,,,,Africa,,,Senegal,Gambia,Guinea Bissau,Guinea,"Mali, Côte D'Ivoire, Burkina, Ghana, Togo, Benin, Niger, Nigeria, Cameroon, Chad, Central African Republic, Democratic Republic of the Congo, Sudan, South Sudan, Eritrea, Ethiopia, somalia, Uganda, Rwanda, Tanzania, Kenya, Angola, Zambia, Zimbabwe, Mozambique, Malawi, South Africa, Lesotho, Swaziland",Central & Southern Africa,tropical,,,,,Least Concern,,https://animaldiversity.org/accounts/Ourebia_ourebi/,
Procapra gutturosa,Mongolian gazelle,Zeren,,Chordata,Mammalia,Artiodactyla,Bovidae,Procapra,Wild,,Ruminant,Grazer,,29.5,20-39,69,54-84,Even-toed,Ungulates of the World (website),Steppe & semidesert,grassland,desert,,,,Asia,,,Mongolia,China,Russia,,,Central Asia,warm temperate dry,cool temperate,boreal,,,Least Concern,,www.ultimateungulate.com/Artiodactyla/Procapra_gutturosa.html,
Procapra picticaudata,Tibetan gazelle,Goa,,Chordata,Mammalia,Artiodactyla,Bovidae,Procapra,Wild,,Ruminant,Mixed feeder,,14.5,13-16,59.5,54-65,Even-toed,"Leslie, D. M. 2010",Alpine grasslands,grassland,boreal forest,,,,Asia,,,China,,,,,"Tibetan plateau, Central Asia",polar,,,,,Near Threatened,,,
Procapra przewalskii,Przewalski's gazelle,,,Chordata,Mammalia,Artiodactyla,Bovidae,Procapra,Wild,,Ruminant,Grazer,,24.5,17-32,60,50-70,Even-toed,Animal Diversity (website),Steppes & semiarid grasslands,grassland,,,,,Asia,,,China,,,,,,warm temperate dry,cool temperate,,,,Endangered,,https://animaldiversity.org/accounts/Procapra_przewalskii/,
