Taxonomic Status - Note,Family,Accepted Plant Name,Accepted Genus Name,Accepted Species Name,Reported Latin Name,Reported Genus Name,Reported Species Name,Reported Synonym 1,Reported Synonym 2,Reported Synonym 3,# of Herbivores,Herbivore Common Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biome 1,Biome 1,Biome 2,Biome 3,Plant Habit,Annual/Perrenial,"Height (m) (3106, 3107)",Leaf Dry Matter Content (g/g-1) (47),"SLA (mm2/mg-1) (3115, 3116, 3117)",Flower size (cm2) (if applicable) (913),Fruit Producing (Y/N),Fruit Size (if applicable) (919),Seed Size (mg) (if applicable) (26),Nitrogen Content (mg/g) (14),Cultivated (Y/N),Physical defense (if applicable)  (345),Chemical defense (if applicable) (346),Main part of plant consumed,Congener Used (if applicable),Citations (herbivore diet),,,Citation (plant traits),Citation
Accepted,Cactaceae,Pereskia sacharosa,Pereskia,sacharosa,Pereskia sacharrrosa,Pereskia,sacharrrosa,Pereskia sacharrosa,,,2,Grey Brocket Deer,Red Brocket Deer,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Cactaceae,Stenocereus thurberi,Stenocereus,thurberi,Stenocereus thurberi,Stenocereus,thurberi,,,,1,Bighorn Sheep,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Cactaceae,Stetsonia coryne,Stetsonia,coryne,Stetsonia corynne,Stetsonia,corynne,,,,1,Grey Brocket Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Calceolariaceae,Calceolaria,Calceolaria,NA,Calceolaria sp.,Calceolaria,NA,,,,1,Huemul deer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Calophyllaceae,Calophyllum soulattri,Calophyllum,soulattri,Calophyllum soulatri,Calophyllum,soulatri,,,,1,Lowland Annoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Campanulaceae,Burmeistera,Burmeistera,NA,Burmeistera sp.,Burmeistera,NA,,,,1,Baird's Tapir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Campanulaceae,Campanula,Campanula,NA,Campanula sp.,Campanula,NA,,,,2,Red Deer,Mexican red brocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Campanulaceae,Campanula persicifolia,Campanula,persicifolia,Campanula persicifolia,Campanula,persicifolia,,,,1,Roe Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Campanulaceae,Campanula rotundifolia,Campanula,rotundifolia,Campanula rotundifolia,Campanula,rotundifolia,,,,1,Red Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Campanulaceae,Canarina eminii,Canarina,eminii,Canarina eminii,Canarina,eminii,,,,1,Mountain nyala,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Campanulaceae,Centropogon,Centropogon,NA,Centropogon sp.,Centropogon,NA,,,,1,mountain tapir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Campanulaceae,Cyananthus,Cyananthus,NA,Cyannanthus sp.,Cyannanthus,NA,,,,1,Himalayan Tahr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Campanulaceae,Jasione montana,Jasione,montana,Jasione montana,Jasione,montana,,,,1,Przewalski's Wild Horse,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Campanulaceae,Lobelia inconspicua,Lobelia,inconspicua,Lobelia inconspicua,Lobelia,inconspicua,,,,1,Mountain nyala,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Campanulaceae,Lobelia tomentosa,Lobelia,tomentosa,Lobelia tomentosa,Lobelia,tomentosa,,,,1,"Gray Duiker, Common Duiker",NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Campanulaceae,Wahlenbergia,Wahlenbergia,NA,Wahlenbergio sp,Wahlenbergio,NA,,,,1,"Gray duiker, Common duiker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Cannabaceae,Cannabis sativa,Cannabis,sativa,Cannabis sativ,Cannabis,sativ,,,,1,Przewalski's Wild Horse,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Cannabaceae,Celtis,Celtis,NA,Celtis sp.,Celtis,NA,,,,1,Lowland Tapir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Cannabaceae,Celtis africana,Celtis,africana,Celtis africana,Celtis,africana,,,,1,Red Duiker,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Cannabaceae,Celtis australis,Celtis,australis,Celtis australis,Celtis,australis,,,,1,Gray goral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Cannabaceae,Celtis ehrenbergiana,Celtis,ehrenbergiana,Celtis ehrenbergiana,Celtis,ehrenbergiana,,,,1,Bighorn Sheep,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Cannabaceae,Celtis iguanaea,Celtis,iguanaea,Celtis iguanea,Celtis,iguanea,Celtis iguanaea,,,3,Grey Brocket Deer,Red Brocket Deer,Lowland Tapir,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Cannabaceae,Celtis occidentalis,Celtis,occidentalis,Celtis occidentalis,Celtis,occidentalis,,,,1,Red Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Cannabaceae,Celtis pallida,Celtis,pallida,Celtis pallaida,Celtis,pallaida,,,,1,Nilgai,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Cannabaceae,Celtis tala,Celtis,tala,Celtis tala,Celtis,tala,,,,1,Grey Brocket Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Cannabaceae,Gironniera nervosa,Gironniera,nervosa,Gironniera nervosa,Gironniera,nervosa,,,,1,Malayan Tapir,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Cannabaceae,Trema,Trema,NA,Trema spp.,Trema,NA,,,,1,Mexican red brocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Capparaceae,Anisocapparis speciosa,Anisocapparis,speciosa,Capparis speciosa,Capparis,speciosa,,,,2,Grey Brocket Deer,Red Brocket Deer,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Capparaceae,Atamisquea emarginata,Atamisquea,emarginata,Capparis atamisquea,Capparis,atamisquea,,,,1,Grey Brocket Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Capparaceae,Boscia albitrunca,Boscia,albitrunca,Boscia albitrunca,Boscia,albitrunca,,,,1,Greater Kudu,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Capparaceae,Cadaba farinosa,Cadaba,farinosa,Cadaba farinose,Cadaba,farinose,,,,1,Thompson's Gazelle,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Capparaceae,Capparis,Capparis,NA,Capparis sp.,Capparis,NA,,,,2,Red Brocket Deer,Grey Brocket Deer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Capparaceae,Capparis decidua,Capparis,decidua,Capparis decidua,Capparis,decidua,,,,3,"Indian gazelle, chinkara",Nilgai,Urial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Capparaceae,Capparis flexuosa,Capparis,flexuosa,Capparis flexuosa,Capparis,flexuosa,,,,1,Baird's Tapir,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Capparaceae,Capparis micracantha,Capparis,micracantha,Capparis micracantha,Capparis,micracantha,,,,1,Banteng,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Capparaceae,Capparis sepiaria,Capparis,sepiaria,Capparis sepiaria,Capparis,sepiaria,,,,2,Nilgai,Chital,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Capparaceae,Capparis tomentosa,Capparis,tomentosa,Capparis tomentosa,Capparis,tomentosa,,,,2,Impala,Bushbuck,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Capparaceae,Crateva adansonii,Crateva,adansonii,Charteva adansonii,Charteva,adansonii,Crativa adonsonii,,,2,Bohor reedbuck,Waterbuck,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Capparaceae,Crateva magna,Crateva,magna,Crateva magna,Crateva,magna,,,,1,Asian Water Buffalo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Capparaceae,Cynophalla retusa,Cynophalla,retusa,Capparis retusa,Capparis,retusa,,,,1,Grey Brocket Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Capparaceae,Maerua parvifolia,Maerua,parvifolia,Maerua legati,Maerua,legati,,,,1,Southern reedbuck,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Capparaceae,Maerua racemulosa,Maerua,racemulosa,Maerua racemulosa,Maerua,racemulosa,,,,1,Bushbuck,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Capparaceae,Maerua triphylla,Maerua,triphylla,Maerua triphylla,Maerua,triphylla,,,,2,Bongo,Bushbuck,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caprifoliaceae,Cephalaria decurrens,Cephalaria,decurrens,Cephalaria ustulata,Cephalaria,ustulata,,,,1,Steenbok,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caprifoliaceae,Leycesteria formosa,Leycesteria,formosa,Leycesteria formosa,Leycesteria,formosa,,,,1,Fallow Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caprifoliaceae,Lonicera etrusca,Lonicera,etrusca,Lonicera etrusca,Lonicera,etrusca,,,,1,Italian Roe Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caprifoliaceae,Lonicera implexa,Lonicera,implexa,Lonicera implexa,Lonicera,implexa,,,,1,Cuvier's gazelle,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caprifoliaceae,Lonicera obovata,Lonicera,obovata,Lonicera obovata,Lonicera,obovata,,,,1,Gray goral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caprifoliaceae,Lonicera rupicola,Lonicera,rupicola,Lonicera rupicola,Lonicera,rupicola,,,,1,Himalayan Serow,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caprifoliaceae,Lonicera xylosteum,Lonicera,xylosteum,Lonicera xylosteum,Lonicera,xylosteum,,,,1,European Roe Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caprifoliaceae,Morina polyphylla,Morina,polyphylla,Cryptothaladia polyphylla,Cryptothaladia,polyphylla,,,,1,Himalayan Serow,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caprifoliaceae,Succisa pratensis,Succisa,pratensis,Succisa pratensis,Succisa,pratensis,,,,1,European Bison,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caprifoliaceae,Symphoricarpos,Symphoricarpos,NA,Symphoricarpos,Symphoricarpos,NA,,,,1,American Bison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caprifoliaceae,Symphoricarpos occidentalis,Symphoricarpos,occidentalis,Symphoricarpos occidentalis,Symphoricarpos,occidentalis,,,,1,American Pronghorn,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caprifoliaceae,Symphoricarpos oreophilus,Symphoricarpos,oreophilus,Symphoricarpos oreophilus,Symphoricarpos,oreophilus,,,,1,Mule Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caprifoliaceae,Valeriana edulis,Valeriana,edulis,Valeriana edulis,Valeriana,edulis,,,,1,Rocky Mountain Goat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caricaceae,Carica papaya,Carica,papaya,Carica papaya,Carica,papaya,,,,3,Black Duiker,Red-flanked Duiker,Maxwell's Duiker,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caricaceae,Jacaratia corumbensis,Jacaratia,corumbensis,Jacaratia hassleriana,Jacaratia,hassleriana,,,,1,Grey Brocket Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caricaceae,Jacaratia digitata,Jacaratia,digitata,Jacaratia digitata,Jacaratia,digitata,,,,1,Lowland Tapir,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caricaceae,Jacaratia spinosa,Jacaratia,spinosa,Jacaratia spinosa,Jacaratia,spinosa,,,,2,Grey Brocket Deer,Lowland Tapir,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryocaraceae,Caryocar glabrum,Caryocar,glabrum,Caryocar glabrum,Caryocar,glabrum,,,,1,Grey Brocket Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Arenaria,Arenaria,NA,Arenaria sp.,Arenaria,NA,,,,1,Rocky Mountain goat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Arenaria capillaris,Arenaria,capillaris,Arenaria capallaris,Arenaria,capallaris,,,,1,Argali,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Arenaria densissima,Arenaria,densissima,Arenaria densissima,Arenaria,densissima,,,,1,Himalayan Serow,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Arenaria fendleri,Arenaria,fendleri,Arenaria fendleri,Arenaria,fendleri,,,,1,Rocky Mountain Goat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Arenaria glanduligera,Arenaria,glanduligera,Arenaria glanduligera,Arenaria,glanduligera,,,,1,Himalayan Serow,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Cerastium,Cerastium,NA,Cerastium sp.,Cerastium,NA,,,,2,Red Deer,Muskox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Cerastium arvense,Cerastium,arvense,Cerastium arvense,Cerastium,arvense,,,,3,Rocky Mountain Goat,Huemul Deer,American Pronghorn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Cerastium holosteoides,Cerastium,holosteoides,Cerastium holosteoides,Cerastium,holosteoides,,,,1,European Bison,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Herniaria glabra,Herniaria,glabra,Herniaria glabra,Herniaria,glabra,,,,1,Przewalski's Wild Horse,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Herniaria mauritanica,Herniaria,mauritanica,Herniaria mauritanica,Herniaria,mauritanica,,,,1,Cuvier's gazelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Lychnis flos-cuculi,Lychnis,flos-cuculi,Lychnis flos-cuculi,Lychnis,flos-cuculi,,,,1,European Bison,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Minuartia obtusiloba,Minuartia,obtusiloba,Arenaria obtusiloba,Arenaria,obtusiloba,,,,1,Rocky Mountain Goat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Moehringia trinervia,Moehringia,trinervia,Moehringia trinervia,Moehringia,trinervia,,,,1,European Bison,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Paronychia capitata,Paronychia,capitata,Paronychia capitata,Paronychia,capitata,,,,1,Cuvier's gazelle,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Sagina procumbens,Sagina,procumbens,Sagina procumbens,Sagina,procumbens,,,,1,European Bison,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Saponaria officinalis,Saponaria,officinalis,Saponaria officinalis,Saponaria,officinalis,,,,1,Przewalski's Wild Horse,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Scleranthus annuus,Scleranthus,annuus,Scleranthus annuus,Scleranthus,annuus,,,,1,Przewalski's Wild Horse,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Silene acaulis,Silene,acaulis,Silene acaulis,Silene,acaulis,,,,1,Rocky Mountain Goat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Silene latifolia subsp. alba,Silene,latifolia,Melandrium album,Melandrium,album,,,,1,European Bison,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Spergula arvensis,Spergula,arvensis,Spergula arvensis,Spergula,arvensis,,,,2,European Bison,Przewalski's Wild Horse,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Spergularia rubra,Spergularia,rubra,Spergularia rebra,Spergularia,rebra,,,,1,Przewalski's Wild Horse,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Stellaria,Stellaria,NA,Stellaria spp.,Stellaria,NA,,,,2,Muskox,Himilayan tahr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Stellaria crassifolia,Stellaria,crassifolia,Stellaria crassifolia,Stellaria,crassifolia,,,,1,European Bison,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Stellaria dichotoma,Stellaria,dichotoma,Stellara dichotomo,Stellara,dichotomo,,,,1,Argali,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Stellaria graminea,Stellaria,graminea,Stellaria graminea,Stellaria,graminea,,,,1,European Bison,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Stellaria holostea,Stellaria,holostea,Stellaria holostea,Stellaria,holostea,,,,1,Roe Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Stellaria longipes,Stellaria,longipes,Stellaria longpipes,Stellaria,longpipes,,,,1,Muskox,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Stellaria media,Stellaria,media,Stellaria media,Stellaria,media,,,,2,European Bison,Przewalski's Wild Horse,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Stellaria nemorum,Stellaria,nemorum,Stellaria nemorum,Stellaria,nemorum,,,,1,European Bison,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Caryophyllaceae,Stellaria uliginosa,Stellaria,uliginosa,Stellaria uliginosa,Stellaria,uliginosa,,,,1,European Bison,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Celastraceae,Cassine,Cassine,NA,Cassine sp.,Cassine,NA,,,,1,Bushbuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Celastraceae,Cassine aethiopica,Cassine,aethiopica,Cassine aethiopica,Cassine,aethiopica,,,,1,Bushbuck,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Celastraceae,Cassine crocea,Cassine,crocea,Cassine crocea,Cassine,crocea,,,,1,Red Duiker,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Celastraceae,Cassine papillosa,Cassine,papillosa,Cassine papillosa,Cassine,papillosa,,,,2,Bushbuck,Blue Duiker,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Celastraceae,Cassine parvifolia,Cassine,parvifolia,Cassine parvifolia,Cassine,parvifolia,,,,1,Bushbuck,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Celastraceae,Cheiloclinium,Cheiloclinium,NA,Cheiloclinium sp.,Cheiloclinium,NA,,,,1,Grey Brocket Deer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Celastraceae,Cheiloclinium cognatum,Cheiloclinium,cognatum,Cheiloclinium cognatum,Cheiloclinium,cognatum,,,,1,Lowland Tapir,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Celastraceae,Elaeodendron glaucum,Elaeodendron,glaucum,Elaeodendron glaucum,Elaeodendron,glaucum,,,,1,Nilgai,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Celastraceae,Euonymus alatus,Euonymus,alatus,Euonymus alatus,Euonymus,alatus,,,,1,Sika Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Celastraceae,Euonymus europaeus,Euonymus,europaeus,Euonymus europaeus,Euonymus,europaeus,,,,1,Italian Roe Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Celastraceae,Euonymus hamiltonianus,Euonymus,hamiltonianus,Euonymus hamiltonianus,Euonymus,hamiltonianus,,,,1,Gray goral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Celastraceae,Euonymus latifolius,Euonymus,latifolius,Euonymus latifolius,Euonymus,latifolius,,,,1,Italian Roe Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Celastraceae,Euonymus oxyphyllus,Euonymus,oxyphyllus,Euonymus oxyphyllus,Euonymus,oxyphyllus,,,,1,Sika Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
